id;monto_pago;monto_inicial;saldo;fecha_registro;fecha_pago;tipo_pago;descripcion;alumnos_id;factura_id
1;13739;95231;56214;2023-04-05;2023-04-05;MENSUAL;Representante;1;1
2;51067;21554;86646;2023-04-05;2023-04-05;DIARIO;incubate Canarias Vasco;2;2
3;55315;26928;92665;2023-04-05;2023-04-05;UNICO;Amarillo bluetooth;3;3
4;5934;63190;83402;2023-04-05;2023-04-04;CUOTA;Automatizado Guapo;4;4
5;51538;12324;60266;2023-04-05;2023-04-05;DIARIO;Persistente Ergonómico;5;5
6;40177;15133;56775;2023-04-05;2023-04-04;DIARIO;Omán Bloque Hogar;6;6
7;98446;83506;91244;2023-04-04;2023-04-05;UNICO;Sabroso;7;7
8;41125;79211;59451;2023-04-05;2023-04-04;CUOTA;Guapo;8;8
9;79970;86569;72028;2023-04-05;2023-04-05;DIARIO;Plástico;9;9
10;87507;52750;23803;2023-04-05;2023-04-05;MENSUAL;services Asociado Práctico;10;10
