id;nombre_curso;descripcion;fecha_inicio;fecha_fin;cantidad_clases;nivel;temas_id
1;Cheese;Awesome;2023-08-13;2023-08-13;15771;PREAJEDREZ;1
2;teal Rhode reboot;EXE;2023-08-13;2023-08-13;3938;INICIAL;2
3;success;hybrid Shoes;2023-08-12;2023-08-12;65697;TODOS;3
4;channels reserved;Tuna JSON PCI;2023-08-13;2023-08-12;35142;INICIAL;4
5;circuit transparent;Forward withdrawal;2023-08-12;2023-08-12;99468;INICIAL;5
6;Awesome neural;tolerance Consultant;2023-08-13;2023-08-12;20836;PREAJEDREZ;6
7;Infrastructure Gloves;fault-tolerant mindshare Shoes;2023-08-13;2023-08-13;36086;INICIAL;7
8;Account;Chips optimal wireless;2023-08-13;2023-08-12;14881;PRINCIPIANTE;8
9;Product Frozen;Oklahoma override;2023-08-13;2023-08-13;19935;INICIAL;9
10;reboot;protocol;2023-08-12;2023-08-13;77780;AVANZADO;10
