id;tipo_evaluacion;id_examen;id_acta;fecha;puntos_logrados;porcentaje;comentarios;alumnos_id
1;ACUMULATIVA;25514;71508;2023-03-13;5537;67440;añadido Aplicaciones Jefe;1
2;FORMATIVA;20815;68463;2023-03-13;76559;56208;Artesanal transmit;2
3;FINAL;38107;50471;2023-03-13;33750;27775;dynamic engineer Central;3
4;ACUMULATIVA;61984;31760;2023-03-13;93761;48111;Checking Bedfordshire Verde;4
5;ACUMULATIVA;39764;51413;2023-03-13;9093;8028;Account efficient proceso;5
6;FORMATIVA;56183;47244;2023-03-13;76704;47014;Increible;6
7;FINAL;8791;99426;2023-03-13;77675;15750;Silver;7
8;FORMATIVA;23573;96624;2023-03-13;44918;92961;Berkshire Actualizable;8
9;FINAL;30574;64272;2023-03-13;51075;5720;Avon navigating;9
10;FORMATIVA;17065;31940;2023-03-13;80699;63523;explícita;10
