id;monto_pago;monto_inicial;saldo;fecha_registro;fecha_pago;tipo_pago;descripcion;funcionarios_id
1;95750;60694;35926;2023-03-13;2023-03-13;DIARIO;basado;1
2;3570;54000;3579;2023-03-13;2023-03-13;MENSUAL;navigating;2
3;18003;57877;362;2023-03-13;2023-03-13;UNICO;Nacional;3
4;25368;57307;3031;2023-03-13;2023-03-13;UNICO;1080p online Morado;4
5;21352;87903;33625;2023-03-13;2023-03-13;DIARIO;quantify Monte;5
6;15410;54462;23853;2023-03-13;2023-03-13;MENSUAL;Nuevo;6
7;54028;92705;89702;2023-03-13;2023-03-13;UNICO;copy Salud;7
8;29615;27465;90920;2023-03-13;2023-03-13;UNICO;óptima;8
9;54962;5153;48082;2023-03-13;2023-03-13;UNICO;Madera firewall Madera;9
10;75744;20661;18370;2023-03-13;2023-03-13;UNICO;panel Pelota Valenciana;10
