id;nombre_torneo;fecha_inicio;fecha_fin;lugar;tiempo;tipo_torneo;torneo_evaluado;federado
1;SQL Optimización Artesanal;2023-03-13;2023-03-13;parse;interface Monitorizado 1080p;NACIONAL;true;false
2;Brasil;2023-03-13;2023-03-13;Galicia;Loan;INTERNACIONAL;false;true
3;magnetic Desarrollador;2023-03-13;2023-03-13;group Dinánmico invoice;Seguridada;INTERNO;false;true
4;Granito Juguetería;2023-03-13;2023-03-13;monitor middleware;monetize Dinánmico;NACIONAL;true;true
5;Desarrollador maximize;2023-03-13;2023-03-13;transmit Bedfordshire Berkshire;brand;INTERNO;true;true
6;wireless;2023-03-13;2023-03-13;Atún;Acero;NACIONAL;true;false
7;Taiwan;2023-03-13;2023-03-13;Mobilidad sensor;payment leading-edge;INTERNACIONAL;true;true
8;Asistente migración Zapatos;2023-03-13;2023-03-13;Desarrollador functionalities Pollo;Digitalizado payment Pollo;NACIONAL;true;false
9;monitor;2023-03-13;2023-03-13;Turkish infomediaries;intermedia;NACIONAL;true;true
10;Buckinghamshire Pescado;2023-03-13;2023-03-13;Granito Teclado aprovechar;Acero Funcionario;INTERNO;false;false
