id;fecha;factura_nro;timbrado;razon_social;ruc;condicion_venta;total
1;2023-05-21;Industrial intuitive SMTP;73779;input technologies;distributed Optional;CREDITO;79969
2;2023-05-21;withdrawal Communications;91479;Future;Principal;CREDITO;40550
3;2023-05-21;synthesize implement;84457;generate Rand driver;bandwidth;CONTADO;55337
4;2023-05-20;bluetooth;37340;Ball;virtual Massachusetts;CREDITO;40202
5;2023-05-20;Unbranded Function-based;60385;Mexico;Cambridgeshire;CONTADO;32283
6;2023-05-21;neural-net Maryland;76132;Marketing bypassing Executive;Cambridgeshire Avon;CREDITO;61535
7;2023-05-21;Credit Buckinghamshire Checking;69640;connect;Berkshire cyan;CONTADO;71649
8;2023-05-21;infrastructure up;58741;bandwidth;Borders bluetooth RSS;CREDITO;33072
9;2023-05-21;Borders;65767;array real-time;orchid copy;CREDITO;11139
10;2023-05-21;Thailand Mill experiences;41952;Berkshire;reboot;CONTADO;43069
